      90 B    1 rules  .tofu-eye
      88 B    1 rules  .ig-model-desc
      88 B    1 rules  .sw-init-sub
      87 B    1 rules  .pb-board-act-defer
      87 B    1 rules  .pm-section-hint
      86 B    1 rules  .spin-icon
      83 B    1 rules  .pricing-stat-value
      82 B    1 rules  .sw-await-card-label
      82 B    1 rules  .sw-get-card-label
      81 B    1 rules  .sw-await-card-icon
      81 B    1 rules  .sw-get-card-icon
      81 B    1 rules  .sw-inbox-row-item
      81 B    1 rules  .sw-init-icon
      80 B    1 rules  .pb-board-done
      79 B    1 rules  .pricing-actions
      78 B    1 rules  .ps-dd-divider
      78 B    1 rules  .tofu-eye-l
      78 B    1 rules  .tofu-eye-r
      77 B    1 rules  .folder-badge-more
      77 B    1 rules  .sw-a-tools-label
      76 B    1 rules  .ptool-cmd-elapsed
      68 B    1 rules  .pb-board-claimed
      67 B    1 rules  .bb-dot
      67 B    1 rules  .pb-board-open
      66 B    1 rules  .branch-search-waiting
      65 B    1 rules  .branch-search-query
      62 B    1 rules  .pb-watch-item-goal
      60 B    1 rules  .branch-search-approval
      60 B    1 rules  .s-in_progress
      60 B    1 rules  .sw-init-label
      59 B    1 rules  .s-blocked
      59 B    1 rules  .tp-skipped
      58 B    1 rules  .pricing-grid
      57 B    1 rules  .sw-init-header
      56 B    1 rules  .fetch-badge
      56 B    1 rules  .pb-icon
      56 B    1 rules  .settings-model-row
      54 B    1 rules  .branch-reply-quote-icon
      52 B    1 rules  .reply-quote-chip-icon
      52 B    1 rules  .stg-edit-row
      52 B    1 rules  .stg-model-edit
      51 B    1 rules  .theme-cycle-btn
      50 B    1 rules  .autopilot-summary-banner
      50 B    1 rules  .pb-watch-item-question
      49 B    1 rules  .hg-icon
      49 B    1 rules  .pb-watch-item-concern
      48 B    1 rules  .branch-search-count
      46 B    1 rules  .sel-icon
      44 B    1 rules  .vu-handoff-icon
      44 B    1 rules  .vu-private-icon
      42 B    1 rules  .settings-table-wrap
      42 B    1 rules  .vu-private-label
      41 B    1 rules  .vu-investigation-label
      35 B    1 rules  .vu-handoff-label
      34 B    1 rules  .memory-stat-divider
      33 B    1 rules  .depth-hidden
